filename,keywords,freesound_id,sound_link,manufacturer,license,superclass,subclass,title,description,duration,original_samplerate,original_bitdepth,original_file_type,num_downloads,avg_rating,geotag,start_time_s,end_time_s,original_filename
321771.mp3,"Interior, AMB, Italy, Distant, Speech, Reverb",321771,https://freesound.org/people/Skjor1/sounds/321771/,Skjor1,http://creativecommons.org/publicdomain/zero/1.0/,Human Sounds,Speech,Interior Ambience + Distant Reverberant Speech 02 [Florence - Italy],Interior Ambience + Distant Reverberant Speech 02 [Florence - Italy],60.6613,48000.0,24,wav,120,4.0,,5.2,27.179,321771_Interior Ambience  Distant Reverberant Speech 02 Florence - Italy.mp3
451371.mp3,"kids, throaty, crowd, India, distant, traffic, speech, election, rally",451371,https://freesound.org/people/kyles/sounds/451371/,kyles,http://creativecommons.org/publicdomain/zero/1.0/,Human Sounds,Speech,election rally crowd and speech with distant throaty traffic and kids around mic India.flac,election rally crowd and speech with distant throaty traffic and kids around mic India.flac,289.709,48000.0,24,flac,122,0.0,,120.8,144.984,451371_election rally crowd and speech with distant throaty traffic and kids around mic Indiaflac.mp3
199414.mp3,"broadcast, speech, radio",199414,https://freesound.org/people/martinimeniscus/sounds/199414/,martinimeniscus,http://creativecommons.org/publicdomain/zero/1.0/,Human Sounds,Speech,"Old Radio Speech Background, higher FF125.aif",Background noise for an old radio broadcast speech (higher pitched),154.388,48000.0,16,aiff,391,4.0,,102.003,130.921,199414_Old Radio Speech Background higher FF125aif.mp3
386984.mp3,"Sasa, male, crowd, belgrade, Jankovic, serbia, political, elections, cheers, talking, speech, human, rally, 2017, voice, applause",386984,https://freesound.org/people/EpicWizard/sounds/386984/,EpicWizard,http://creativecommons.org/publicdomain/zero/1.0/,Human Sounds,Speech,Serbia Political Rally Speech 2017,"Short snippet of political rally speech of Sasa Jankovic in Belgrade. Includes crowd blowing whistles, and stage drums.",33.0599,48000.0,16,wav,706,5.0,44.8154907 20.460407099999998,11.8,30.404,386984_Serbia Political Rally Speech 2017.mp3
410952.mp3,"loop2017, atmos, dolby, speech, ableton",410952,https://freesound.org/people/lietoofine/sounds/410952/,lietoofine,https://creativecommons.org/licenses/by/4.0/,Human Sounds,Speech,dolby atmos speech.wav,dolby atmos speech @Loop2017,145.032,44100.0,16,wav,193,1.0,52.479543 13.500279,31.33,54.021,410952_dolby atmos speechwav.mp3
203908.mp3,"dr-40, project, speech, student, italian, reciting",203908,https://freesound.org/people/s9ames/sounds/203908/,s9ames,http://creativecommons.org/licenses/by/3.0/,Human Sounds,Speech,bologna speech Italian2,"recorded with a tascam dr-40 in a sound studio. Reciting a speech from a concert in bologna Italy, in Italian. The second version, at a slightly slower pace, starting from the middle of the speech.",55.458,44100.0,16,wav,526,5.0,,29.2,45.689,203908_bologna speech Italian2.mp3
709279.mp3,"market, Felixblume, spanish, hubbub, speech, cars, loudspeaker, hawker, Felix, village, far, crowd, fair, field-recording, voices, Mexico, seller, hawk, Blume",709279,https://freesound.org/people/felix.blume/sounds/709279/,felix.blume,http://creativecommons.org/publicdomain/zero/1.0/,Human Sounds,Speech,"Seller speech in spanish in loudspeaker at market fair, cars passing and crowd","Seller speech in spanish in loudspeaker at market fair with cars passing far and crowd hubbub 

Sound recorded by a MS setup Schoeps Microphone hypercardio CCM41 &amp; CCM8 
Cooper Sound CS 104 Mixer + Zoom H4n Recorder
MS is encoded in STEREO Left-Right
Sound reference: MX091212-074
Recorded in December 2009 in Mexico",210.024,48000.0,24,wav,48,5.0,,1.618,24.739,709279_Seller speech in spanish in loudspeaker at market fair cars passing and crowd.mp3
203907.mp3,"bologna, translation, speech, english",203907,https://freesound.org/people/s9ames/sounds/203907/,s9ames,http://creativecommons.org/licenses/by/3.0/,Human Sounds,Speech,bologna speech English,"recorded with a tascam dr-40 in a sound studio, English translation of an Italian speech from a concert in Bologna Italy.",70.5567,44100.0,16,wav,129,5.0,,12.603,39.693,203907_bologna speech English.mp3
39929.mp3,"airplane, report, speech, voice",39929,https://freesound.org/people/dobroide/sounds/39929/,dobroide,https://creativecommons.org/licenses/by/4.0/,Human Sounds,Speech,20070815.Danish.speech.wav,part of the pilot speech (in Danish) during a flight Copenhagen-Narsarsuaq (Greenland),68.6592,44100.0,16,wav,295,3.6666666666666665,,21.0,43.474,39929_20070815Danishspeechwav.mp3
83511.mp3,"music, philosophy, speech, vocoder",83511,https://freesound.org/people/Patrick6410/sounds/83511/,Patrick6410,http://creativecommons.org/licenses/sampling+/1.0/,Human Sounds,Speech,Music Speech 2 - PLF.aif,A speech I made based off of the lady in the red dress scene from the matrix. Used it with Reason Vocoder to make some pretty cool sounds.,61.7987,44100.0,16,aiff,950,3.8125,,26.0,54.273,83511_Music Speech 2 - PLFaif.mp3
