index,filename,audio_path,full_audio_duration,min_segment_duration,max_segment_duration,segment_start,segment_end,true_duration,duration_bucket,prompt,model_answer,parsed_duration,absolute_error,within_1s,within_2s,within_5s,error
48,734627.mp3,data/TACOS/audio/734627.mp3,28.9235625,5.0,30.0,0.0490967329125857,28.879846732912583,28.83075,25-30s,How long is this audio recording in seconds? Answer with only one number.,15,15.0,13.830749999999998,False,False,False,
85,41333.mp3,data/TACOS/audio/41333.mp3,21.7095,5.0,30.0,0.6153130932234443,21.247313093223447,20.632,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.632000000000001,False,False,False,
125,588530.mp3,data/TACOS/audio/588530.mp3,28.022,5.0,30.0,11.836579086083464,24.115641586083463,12.2790625,10-15s,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,10.7790625,False,False,False,
175,523148.mp3,data/TACOS/audio/523148.mp3,16.7818125,5.0,30.0,0.1190886083438831,16.678838608343884,16.55975,15-20s,How long is this audio recording in seconds? Answer with only one number.,thirty,30.0,13.440249999999999,False,False,False,
177,711504.mp3,data/TACOS/audio/711504.mp3,22.780625,5.0,30.0,0.0939794623178511,22.34829196231785,22.2543125,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.254312500000001,False,False,False,
326,71673.mp3,data/TACOS/audio/71673.mp3,27.4335,5.0,30.0,0.6316295503064941,26.74300455030649,26.111375,25-30s,How long is this audio recording in seconds? Answer with only one number.,15,15.0,11.111374999999999,False,False,False,
355,406147.mp3,data/TACOS/audio/406147.mp3,29.6085625,5.0,30.0,5.360790688386451,27.308165688386453,21.947375,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.947375000000001,False,False,False,
369,317330.mp3,data/TACOS/audio/317330.mp3,26.0859375,5.0,30.0,4.582607913027756,16.919670413027756,12.3370625,10-15s,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,10.8370625,False,False,False,
390,28127.mp3,data/TACOS/audio/28127.mp3,16.17325,5.0,30.0,0.9347063907138374,15.232456390713836,14.29775,10-15s,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,12.79775,False,False,False,
417,408717.mp3,data/TACOS/audio/408717.mp3,26.2141875,5.0,30.0,2.414006870631777,22.740069370631776,20.3260625,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.326062499999999,False,False,False,
462,334151.mp3,data/TACOS/audio/334151.mp3,27.554125,5.0,30.0,2.4641963876997446,22.041821387699745,19.577625,15-20s,How long is this audio recording in seconds? Answer with only one number.,thirty,30.0,10.422374999999999,False,False,False,
624,248341.mp3,data/TACOS/audio/248341.mp3,25.518,5.0,30.0,1.826015627711189,24.37495312771119,22.5489375,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.548937500000001,False,False,False,
662,196283.mp3,data/TACOS/audio/196283.mp3,28.9188125,5.0,30.0,0.7325175657004253,24.061705065700423,23.3291875,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,13.3291875,False,False,False,
667,756858.mp3,data/TACOS/audio/756858.mp3,27.8203125,5.0,30.0,1.7542791251717489,22.18909162517175,20.4348125,20-25s,How long is this audio recording in seconds? Answer with only one number.,10.0,10.0,10.4348125,False,False,False,
676,28101.mp3,data/TACOS/audio/28101.mp3,21.2143125,5.0,30.0,0.4467894368011655,21.114164436801165,20.667375,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.667375,False,False,False,
677,672445.mp3,data/TACOS/audio/672445.mp3,20.2099375,5.0,30.0,0.4183559038112215,17.605480903811223,17.187125,15-20s,How long is this audio recording in seconds? Answer with only one number.,100,100.0,82.81287499999999,False,False,False,
703,591212.mp3,data/TACOS/audio/591212.mp3,26.124,5.0,30.0,1.1956724068532063,25.31598490685321,24.1203125,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,14.1203125,False,False,False,
734,22125.mp3,data/TACOS/audio/22125.mp3,24.4179375,5.0,30.0,0.791045245509409,23.16304524550941,22.372,20-25s,How long is this audio recording in seconds? Answer with only one number.,10.0,10.0,12.372,False,False,False,
897,140767.mp3,data/TACOS/audio/140767.mp3,28.1139375,5.0,30.0,0.9640237003125198,22.05527370031252,21.09125,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.091249999999999,False,False,False,
943,422939.mp3,data/TACOS/audio/422939.mp3,25.2951875,5.0,30.0,0.5021981167794689,24.095260616779463,23.5930625,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,13.593062499999998,False,False,False,
951,711218.mp3,data/TACOS/audio/711218.mp3,22.691125,5.0,30.0,0.1837483681332979,20.6304983681333,20.44675,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.446750000000002,False,False,False,
1012,772711.mp3,data/TACOS/audio/772711.mp3,20.4533125,5.0,30.0,2.7455057100129614,20.19744321001296,17.4519375,15-20s,How long is this audio recording in seconds? Answer with only one number.,thirty,30.0,12.5480625,False,False,False,
1408,370004.mp3,data/TACOS/audio/370004.mp3,21.91675,5.0,30.0,0.0049023076029144,21.763902307602915,21.759,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.759,False,False,False,
1436,248026.mp3,data/TACOS/audio/248026.mp3,20.295625,5.0,30.0,0.1267315936118205,20.260294093611822,20.1335625,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.1335625,False,False,False,
1520,509541.mp3,data/TACOS/audio/509541.mp3,29.8915625,5.0,30.0,5.049520004508193,26.52820750450819,21.4786875,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.4786875,False,False,False,
1750,96856.mp3,data/TACOS/audio/96856.mp3,21.8758125,5.0,30.0,0.025368027239474,21.397368027239477,21.372,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.372,False,False,False,
1793,483138.mp3,data/TACOS/audio/483138.mp3,27.064125,5.0,30.0,1.4344619092640738,23.25558690926407,21.821125,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.821124999999999,False,False,False,
1829,435087.mp3,data/TACOS/audio/435087.mp3,28.3660625,5.0,30.0,4.454067206830858,27.70119220683086,23.247125,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,13.247125,False,False,False,
1861,172784.mp3,data/TACOS/audio/172784.mp3,23.6124375,5.0,30.0,0.3951035966301123,22.98360359663011,22.5885,20-25s,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.5885,False,False,False,
1917,591187.mp3,data/TACOS/audio/591187.mp3,17.03375,5.0,30.0,0.3819621422732036,16.213774642273204,15.8318125,15-20s,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,14.3318125,False,False,False,
1986,278924.mp3,data/TACOS/audio/278924.mp3,29.6051875,5.0,30.0,0.1541649200656817,29.58160242006568,29.4274375,25-30s,How long is this audio recording in seconds? Answer with only one number.,15.0,15.0,14.4274375,False,False,False,
