index,filename,audio_path,true_duration,prompt,model_answer,parsed_duration,absolute_error,within_1s,within_2s,within_5s,error
60,467470.mp3,data/TACOS/audio/467470.mp3,22.6029375,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.6029375,False,False,False,
61,658613.mp3,data/TACOS/audio/658613.mp3,20.5660625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.566062500000001,False,False,False,
71,202921.mp3,data/TACOS/audio/202921.mp3,27.751625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,17.751625,False,False,False,
72,392623.mp3,data/TACOS/audio/392623.mp3,21.465125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.465125,False,False,False,
86,705157.mp3,data/TACOS/audio/705157.mp3,20.096,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.096,False,False,False,
97,445567.mp3,data/TACOS/audio/445567.mp3,23.267125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,13.267125,False,False,False,
117,185770.mp3,data/TACOS/audio/185770.mp3,23.998875,How long is this audio recording in seconds? Answer with only one number.,10,10.0,13.998875000000002,False,False,False,
155,396754.mp3,data/TACOS/audio/396754.mp3,21.0344375,How long is this audio recording in seconds? Answer with only one number.,10.0,10.0,11.0344375,False,False,False,
177,711504.mp3,data/TACOS/audio/711504.mp3,22.780625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.780625,False,False,False,
197,18761.mp3,data/TACOS/audio/18761.mp3,29.7566875,How long is this audio recording in seconds? Answer with only one number.,10,10.0,19.7566875,False,False,False,
216,512965.mp3,data/TACOS/audio/512965.mp3,17.6775,How long is this audio recording in seconds? Answer with only one number.,thirty,30.0,12.322500000000002,False,False,False,
290,115928.mp3,data/TACOS/audio/115928.mp3,21.7650625,How long is this audio recording in seconds? Answer with only one number.,10.0,10.0,11.765062499999999,False,False,False,
291,650898.mp3,data/TACOS/audio/650898.mp3,21.6523125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.6523125,False,False,False,
301,252282.mp3,data/TACOS/audio/252282.mp3,25.2626875,How long is this audio recording in seconds? Answer with only one number.,10,10.0,15.262687499999998,False,False,False,
307,608737.mp3,data/TACOS/audio/608737.mp3,22.3815625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.381562500000001,False,False,False,
316,348757.mp3,data/TACOS/audio/348757.mp3,22.7295625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.7295625,False,False,False,
319,252286.mp3,data/TACOS/audio/252286.mp3,25.816,How long is this audio recording in seconds? Answer with only one number.,10,10.0,15.815999999999999,False,False,False,
321,760779.mp3,data/TACOS/audio/760779.mp3,20.508125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.508125,False,False,False,
332,435791.mp3,data/TACOS/audio/435791.mp3,15.3138125,How long is this audio recording in seconds? Answer with only one number.,thirty,30.0,14.6861875,False,False,False,
368,367225.mp3,data/TACOS/audio/367225.mp3,21.0290625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.029062499999998,False,False,False,
369,317330.mp3,data/TACOS/audio/317330.mp3,26.0859375,How long is this audio recording in seconds? Answer with only one number.,10,10.0,16.0859375,False,False,False,
402,337997.mp3,data/TACOS/audio/337997.mp3,24.1345,How long is this audio recording in seconds? Answer with only one number.,10,10.0,14.1345,False,False,False,
433,545536.mp3,data/TACOS/audio/545536.mp3,21.721625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.721625,False,False,False,
438,191890.mp3,data/TACOS/audio/191890.mp3,24.8936875,How long is this audio recording in seconds? Answer with only one number.,10,10.0,14.893687499999999,False,False,False,
484,339788.mp3,data/TACOS/audio/339788.mp3,22.56475,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.56475,False,False,False,
564,369164.mp3,data/TACOS/audio/369164.mp3,25.708625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,15.708625000000001,False,False,False,
576,437524.mp3,data/TACOS/audio/437524.mp3,20.5788125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.578812500000002,False,False,False,
579,435923.mp3,data/TACOS/audio/435923.mp3,21.33175,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.33175,False,False,False,
585,650061.mp3,data/TACOS/audio/650061.mp3,26.608375,How long is this audio recording in seconds? Answer with only one number.,10,10.0,16.608375,False,False,False,
619,785763.mp3,data/TACOS/audio/785763.mp3,21.7129375,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.712937499999999,False,False,False,
639,366403.mp3,data/TACOS/audio/366403.mp3,20.035,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.035,False,False,False,
645,269258.mp3,data/TACOS/audio/269258.mp3,24.960125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,14.960125000000001,False,False,False,
653,650531.mp3,data/TACOS/audio/650531.mp3,20.799125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.799125,False,False,False,
688,715598.mp3,data/TACOS/audio/715598.mp3,27.5688125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,17.5688125,False,False,False,
693,277130.mp3,data/TACOS/audio/277130.mp3,18.6914375,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,17.1914375,False,False,False,
712,432063.mp3,data/TACOS/audio/432063.mp3,22.4479375,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.447937499999998,False,False,False,
734,22125.mp3,data/TACOS/audio/22125.mp3,24.4179375,How long is this audio recording in seconds? Answer with only one number.,10,10.0,14.4179375,False,False,False,
739,581557.mp3,data/TACOS/audio/581557.mp3,23.2224375,How long is this audio recording in seconds? Answer with only one number.,12.0,12.0,11.222437500000002,False,False,False,
756,129649.mp3,data/TACOS/audio/129649.mp3,20.52,How long is this audio recording in seconds? Answer with only one number.,10.0,10.0,10.52,False,False,False,
763,640767.mp3,data/TACOS/audio/640767.mp3,22.0815,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.081499999999998,False,False,False,
846,86226.mp3,data/TACOS/audio/86226.mp3,28.572,How long is this audio recording in seconds? Answer with only one number.,15,15.0,13.572,False,False,False,
912,148293.mp3,data/TACOS/audio/148293.mp3,15.5548125,How long is this audio recording in seconds? Answer with only one number.,30,30.0,14.4451875,False,False,False,
983,407705.mp3,data/TACOS/audio/407705.mp3,24.9250625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,14.9250625,False,False,False,
997,190502.mp3,data/TACOS/audio/190502.mp3,21.998,How long is this audio recording in seconds? Answer with only one number.,11,11.0,10.998000000000001,False,False,False,
1018,768076.mp3,data/TACOS/audio/768076.mp3,19.700375,How long is this audio recording in seconds? Answer with only one number.,thirty,30.0,10.299624999999999,False,False,False,
1057,553508.mp3,data/TACOS/audio/553508.mp3,24.5235625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,14.5235625,False,False,False,
1061,501816.mp3,data/TACOS/audio/501816.mp3,21.461125,How long is this audio recording in seconds? Answer with only one number.,10.0,10.0,11.461125,False,False,False,
1083,214507.mp3,data/TACOS/audio/214507.mp3,17.44725,How long is this audio recording in seconds? Answer with only one number.,thirty,30.0,12.55275,False,False,False,
1087,705232.mp3,data/TACOS/audio/705232.mp3,24.5639375,How long is this audio recording in seconds? Answer with only one number.,10,10.0,14.563937500000002,False,False,False,
1089,268525.mp3,data/TACOS/audio/268525.mp3,22.0,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.0,False,False,False,
1108,574489.mp3,data/TACOS/audio/574489.mp3,21.333375,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.333375,False,False,False,
1113,696676.mp3,data/TACOS/audio/696676.mp3,20.0291875,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.029187499999999,False,False,False,
1118,423452.mp3,data/TACOS/audio/423452.mp3,21.8926875,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.892687500000001,False,False,False,
1134,574322.mp3,data/TACOS/audio/574322.mp3,29.896875,How long is this audio recording in seconds? Answer with only one number.,15,15.0,14.896875000000001,False,False,False,
1138,277145.mp3,data/TACOS/audio/277145.mp3,16.05275,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,14.55275,False,False,False,
1153,253986.mp3,data/TACOS/audio/253986.mp3,25.2205,How long is this audio recording in seconds? Answer with only one number.,10,10.0,15.220500000000001,False,False,False,
1183,316022.mp3,data/TACOS/audio/316022.mp3,18.6974375,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,17.1974375,False,False,False,
1224,591190.mp3,data/TACOS/audio/591190.mp3,20.203,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.203,False,False,False,
1246,262168.mp3,data/TACOS/audio/262168.mp3,20.4495,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.4495,False,False,False,
1250,591209.mp3,data/TACOS/audio/591209.mp3,27.3080625,How long is this audio recording in seconds? Answer with only one number.,2.5,2.5,24.8080625,False,False,False,
1253,429179.mp3,data/TACOS/audio/429179.mp3,15.0825625,How long is this audio recording in seconds? Answer with only one number.,thirty,30.0,14.9174375,False,False,False,
1296,148475.mp3,data/TACOS/audio/148475.mp3,20.48025,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.480250000000002,False,False,False,
1319,422876.mp3,data/TACOS/audio/422876.mp3,27.587875,How long is this audio recording in seconds? Answer with only one number.,15,15.0,12.587875,False,False,False,
1331,50621.mp3,data/TACOS/audio/50621.mp3,24.8699375,How long is this audio recording in seconds? Answer with only one number.,12.0,12.0,12.869937499999999,False,False,False,
1332,203519.mp3,data/TACOS/audio/203519.mp3,20.356875,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.356874999999999,False,False,False,
1365,395292.mp3,data/TACOS/audio/395292.mp3,25.0589375,How long is this audio recording in seconds? Answer with only one number.,10,10.0,15.058937499999999,False,False,False,
1375,212992.mp3,data/TACOS/audio/212992.mp3,27.0543125,How long is this audio recording in seconds? Answer with only one number.,15.9,15.9,11.154312500000001,False,False,False,
1392,370002.mp3,data/TACOS/audio/370002.mp3,20.573,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.573,False,False,False,
1407,148568.mp3,data/TACOS/audio/148568.mp3,20.4868125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.4868125,False,False,False,
1408,370004.mp3,data/TACOS/audio/370004.mp3,21.91675,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.91675,False,False,False,
1415,191646.mp3,data/TACOS/audio/191646.mp3,20.9326875,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.9326875,False,False,False,
1438,687047.mp3,data/TACOS/audio/687047.mp3,20.8605,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.860499999999998,False,False,False,
1442,563894.mp3,data/TACOS/audio/563894.mp3,22.483625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.483625,False,False,False,
1449,316075.mp3,data/TACOS/audio/316075.mp3,17.9981875,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,16.4981875,False,False,False,
1515,135720.mp3,data/TACOS/audio/135720.mp3,16.42775,How long is this audio recording in seconds? Answer with only one number.,thirty,30.0,13.57225,False,False,False,
1517,697617.mp3,data/TACOS/audio/697617.mp3,23.2029375,How long is this audio recording in seconds? Answer with only one number.,10.0,10.0,13.2029375,False,False,False,
1568,660407.mp3,data/TACOS/audio/660407.mp3,23.3095625,How long is this audio recording in seconds? Answer with only one number.,10,10.0,13.309562499999998,False,False,False,
1596,194460.mp3,data/TACOS/audio/194460.mp3,21.32,How long is this audio recording in seconds? Answer with only one number.,10,10.0,11.32,False,False,False,
1670,469140.mp3,data/TACOS/audio/469140.mp3,26.16125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,16.16125,False,False,False,
1684,242409.mp3,data/TACOS/audio/242409.mp3,22.2951875,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.2951875,False,False,False,
1690,277136.mp3,data/TACOS/audio/277136.mp3,16.5323125,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,15.0323125,False,False,False,
1701,16784.mp3,data/TACOS/audio/16784.mp3,21.3250625,How long is this audio recording in seconds? Answer with only one number.,ten,10.0,11.325062500000001,False,False,False,
1739,711507.mp3,data/TACOS/audio/711507.mp3,25.3305,How long is this audio recording in seconds? Answer with only one number.,15.0,15.0,10.3305,False,False,False,
1760,513852.mp3,data/TACOS/audio/513852.mp3,17.072625,How long is this audio recording in seconds? Answer with only one number.,thirty,30.0,12.927375000000001,False,False,False,
1807,642495.mp3,data/TACOS/audio/642495.mp3,22.04325,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.04325,False,False,False,
1816,537094.mp3,data/TACOS/audio/537094.mp3,22.0438125,How long is this audio recording in seconds? Answer with only one number.,10,10.0,12.043812500000001,False,False,False,
1828,370005.mp3,data/TACOS/audio/370005.mp3,20.282375,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.282374999999998,False,False,False,
1858,277132.mp3,data/TACOS/audio/277132.mp3,15.4193125,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,13.9193125,False,False,False,
1915,97618.mp3,data/TACOS/audio/97618.mp3,15.687375,How long is this audio recording in seconds? Answer with only one number.,1.5,1.5,14.187375,False,False,False,
1942,187685.mp3,data/TACOS/audio/187685.mp3,20.76425,How long is this audio recording in seconds? Answer with only one number.,10,10.0,10.76425,False,False,False,
