filename,text
100300.mp3,A group of people sing accompanied by several musical instruments playing in the background.
100388.mp3,A river flows loudly outdoors while a bird tweets quietly and repeatedly.
100389.mp3,"A constant loud creaking sound is accompanied by several short, high-pitched bird chirps outdoors."
100476.mp3,"A saxophone plays a soft melody with oscillating and varying volume, fading out, while a string is plucked repeatedly."
100481.mp3,"A motor whirs consistently while birds chirp softly in the distance, with a loud bird chirp near the end."
100489.mp3,"A bell rings repeatedly over a low-pitched engine, with occasional scratching and a whistling sound in the background."
100491.mp3,"A continuous, rhythmic bell chime and the whooshing sound of a passing train both gradually increase and then fade away, with a brief hissing burst in between."
100492.mp3,Ambient noises at a train station include background chatter and footsteps.
100495.mp3,Light rain falls outdoors with brief tapping on a microphone.
100774.mp3,"A flying object approaches with a rapidly spinning propeller, followed by a sudden loud explosion and lingering air sounds."
101134.mp3,A loud compressed air sound with an increasing pitch plays continuously.
101344.mp3,A loud hissing and shouting sound from an owl occurs intermittently.
101488.mp3,"Slow, repeated dripping of water from a faucet continues steadily."
101508.mp3,Heavy rain pours continuously while thunder rumbles quietly in the distance.
101683.mp3,"Heavy rain pours steadily with strong intensity, accompanied by occasional dripping sounds."
101692.mp3,Heavy rain splashes continuously on the ground with thunder rolling softly and intermittently in the distance.
101693.mp3,Heavy rain pours down with constant splashing accompanied by thunder that rumbles and gradually fades.
101782.mp3,A pneumatic drill bores repeatedly with a high-pitched metallic hum that echoes.
101811.mp3,"People are talking loudly indoors, with the volume gradually increasing."
101814.mp3,Several people talk loudly outdoors with background music playing and distant traffic noise audible.
101847.mp3,"Multiple people speak, followed by one person, then two people speaking in Spanish with distinct proximity to the microphone."
101871.mp3,People are cheering and shouting loudly.
101933.mp3,Thunder claps continuously echo in the distance.
101948.mp3,"Distant thunderclaps rumble low with brief pauses, followed by faint thunder echoes."
102172.mp3,"Heavy rain continuously falls outside, creating sounds as it hits the roof."
102409.mp3,"People speak loudly in a crowd with multiple bicycles clicking and people boarding a boat, followed by ferry wobbling and a beeping sound."
102411.mp3,"Background chatter and ferry motor noise persist, with subtle waves and a child crying toward the end."
102428.mp3,"Gentle waves roll and crash rhythmically against the shore, creating a soothing and continuous sound."
102431.mp3,A baby cries repeatedly indoors.
102431.mp3,A baby alternates between loud mid-frequency crying and mid-pitched unrhythmic vocal noises repeatedly.
102545.mp3,A man yells loudly several times with brief pauses between each yell.
102568.mp3,A washing machine runs continuously with an idle hum throughout the entire period.
102572.mp3,Wind howls continuously with fluctuations in volume.
102714.mp3,"The bus engine sounds steady as the door closes with a beep, followed by the bus departing."
102744.mp3,Someone is speaking clearly and distinctly throughout the entire duration with brief pauses in between.
102744.mp3,"A rough, aggressive male voice repeats a phrase, followed by a calm mature male voice sharing coordinates and military news."
102806.mp3,Monotonous bright rain with muffled thunder rumbling in the distance.
102849.mp3,Frogs croak intermittently while birds chirp frequently and a bee buzzes in the background.
102851.mp3,"Waves roll repeatedly on the beach in a continuous, soothing rhythm."
102852.mp3,Heavy waves crash on the beach while a seagull screams loudly multiple times.
102852.mp3,Waves crash at the seaside with distant seagulls calling intermittently.
102853.mp3,A police siren sounds loudly in a steady pattern with distant motorbike engine and intermittent metallic chain and thumping sounds.
102856.mp3,A loud siren rings continuously over heavy engine noise.
102871.mp3,A piercing rhythmic siren sounds alongside distant vehicle engines rumbling and frequent keyboard typing clicks.
102876.mp3,"A solo trumpet plays clean, rhythmic jazz phrases with varying echo and volume, accompanied by a short mechanical beep."
102877.mp3,"A trumpet is played in a jazzy style multiple times with an echo at the end, accompanied by a brief beep."
103025.mp3,A train passes by with loud rumbling and rushing wind sounds.
103073.mp3,A bird sings intermittently in several short bursts.
103074.mp3,"A harsh, repetitive pneumatic drill bangs over a deep humming and intermittent crisp clicking noises from machinery."
103074.mp3,"A loud, rapid jackhammer pounds consistently with a short pause, echoing slightly in an urban setting."
103191.mp3,Multiple horns or trumpets play prolonged and successive notes with a slight echo effect.
103192.mp3,"A loud musical horn plays indoors intermittently as people talk, followed by a distant ship's horn sounding repeatedly."
103294.mp3,A jet engine produces a loud whirring sound that gradually increases and then fades into the distance.
103297.mp3,An aircraft jet engine decreases in RPM with layered sounds varying in pitch.
103455.mp3,Footsteps are heard walking steadily through gravel.
